 Nascidos vivos - Rio Grande do Sul;
Nascim p/resid.mãe por Região de Saúde/Município;
Período:2021;
Região de Saúde/Município;Nascim_p/resid.mãe
43001 Região 01 - Verdes Campos;4731
.....  JULIO DE CASTILHOS;211
.....  NOVA PALMA;46
.....  SAO PEDRO DO SUL;131
.....  SAO MARTINHO DA SERRA;23
.....  DILERMANDO DE AGUIAR;28
.....  SANTA MARIA;3084
.....  PARAISO DO SUL;71
.....  SAO SEPE;233
.....  VILA NOVA DO SUL;33
.....  RESTINGA SECA;155
.....  ITAARA;54
.....  QUEVEDOS;24
.....  PINHAL GRANDE;30
.....  TUPANCIRETA;232
.....  TOROPI;15
.....  SILVEIRA MARTINS;17
.....  SAO JOAO DO POLESINE;26
.....  FAXINAL DO SOTURNO;70
.....  DONA FRANCISCA;26
.....  FORMIGUEIRO;73
.....  AGUDO;136
.....  IVORA;13
43002 Região 02 - Entre Rios;1069
.....  SANTIAGO;483
.....  MATA;34
.....  JARI;26
.....  CACEQUI;122
.....  NOVA ESPERANCA DO SUL;44
.....  UNISTALDA;24
.....  ITACURUBI;26
.....  SAO VICENTE DO SUL;61
.....  CAPAO DO CIPO;31
.....  JAGUARI;87
.....  SAO FRANCISCO DE ASSIS;131
43003 Região 03 - Fronteira Oeste;5438
.....  MACAMBARA;56
.....  ROSARIO DO SUL;456
.....  SANTA MARGARIDA DO SUL;15
.....  QUARAI;275
.....  ALEGRETE;830
.....  BARRA DO QUARAI;42
.....  ITAQUI;473
.....  SAO GABRIEL;674
.....  SANT'ANA DO LIVRAMENTO;986
.....  MANOEL VIANA;59
.....  URUGUAIANA;1572
43004 Região 04 - Belas Praias;2348
.....  MAMPITUBA;51
.....  TRES FORQUILHAS;38
.....  MAQUINE;87
.....  DOM PEDRO DE ALCANTARA;27
.....  ARROIO DO SAL;123
.....  TRES CACHOEIRAS;121
.....  CAPAO DA CANOA;873
.....  TORRES;564
.....  XANGRI-LA;244
.....  ITATI;41
.....  MORRINHOS DO SUL;36
.....  TERRA DE AREIA;143
43005 Região 05 - Bons Ventos;2750
.....  CARAA;57
.....  CIDREIRA;189
.....  IMBE;277
.....  MOSTARDAS;156
.....  OSORIO;553
.....  TRAMANDAI;704
.....  SANTO ANTONIO DA PATRULHA;464
.....  BALNEARIO PINHAL;130
.....  PALMARES DO SUL;125
.....  CAPIVARI DO SUL;51
.....  TAVARES;44
43006 Região 06 - Vale do Paranhana e Costa Serra;2644
.....  PAROBE;726
.....  ROLANTE;241
.....  SAO FRANCISCO DE PAULA;260
.....  RIOZINHO;46
.....  CAMBARA DO SUL;66
.....  TRES COROAS;243
.....  IGREJINHA;487
.....  TAQUARA;575
43007 Região 07 - Vale dos Sinos;9257
.....  DOIS IRMAOS;326
.....  CAMPO BOM;763
.....  SAPIRANGA;1066
.....  SAO LEOPOLDO;2691
.....  LINDOLFO COLLOR;75
.....  SAO JOSE DO HORTENCIO;40
.....  MORRO REUTER;53
.....  NOVA HARTZ;246
.....  SANTA MARIA DO HERVAL;52
.....  ESTANCIA VELHA;522
.....  PRESIDENTE LUCENA;21
.....  PORTAO;376
.....  NOVO HAMBURGO;2726
.....  ARARICA;108
.....  IVOTI;192
43008 Região 08 - Vale do Caí e Metropolitana;9133
.....  MONTENEGRO;812
.....  TRIUNFO;314
.....  TUPANDI;57
.....  SAPUCAIA DO SUL;1471
.....  CANOAS;4272
.....  SAO PEDRO DA SERRA;35
.....  CAPELA DE SANTANA;124
.....  BROCHIER;66
.....  TABAI;55
.....  MARATA;31
.....  SAO SEBASTIAO DO CAI;278
.....  SALVADOR DO SUL;86
.....  HARMONIA;62
.....  PARECI NOVO;72
.....  SAO JOSE DO SUL;36
.....  ESTEIO;893
.....  NOVA SANTA RITA;412
.....  BARAO;57
43009 Região 09 - Carbonífera/Costa Doce;4211
.....  CAMAQUA;722
.....  BUTIA;193
.....  ARAMBARE;39
.....  BARAO DO TRIUNFO;52
.....  MARIANA PIMENTEL;42
.....  TAPES;146
.....  SERTAO SANTANA;49
.....  GENERAL CAMARA;70
.....  GUAIBA;1051
.....  ARROIO DOS RATOS;148
.....  BARRA DO RIBEIRO;146
.....  SENTINELA DO SUL;41
.....  CHUVISCA;52
.....  MINAS DO LEAO;78
.....  CRISTAL;86
.....  SAO JERONIMO;209
.....  DOM FELICIANO;128
.....  CHARQUEADAS;317
.....  ELDORADO DO SUL;544
.....  CERRO GRANDE DO SUL;98
43010 Região 10 - Capital e Vale do Gravataí;23678
.....  GLORINHA;87
.....  PORTO ALEGRE;14153
.....  CACHOEIRINHA;1618
.....  VIAMAO;2330
.....  GRAVATAI;3034
.....  ALVORADA;2456
43011 Região 11 - Sete Povos das Missões;3208
.....  VITORIA DAS MISSOES;29
.....  UBIRETAMA;19
.....  ENTRE-IJUIS;95
.....  SANTO ANGELO;968
.....  MATO QUEIMADO;16
.....  ROLADOR;24
.....  SAO LUIZ GONZAGA;478
.....  CAIBATE;48
.....  CERRO LARGO;138
.....  BOSSOROCA;54
.....  SAO BORJA;706
.....  GARRUCHOS;30
.....  SAO NICOLAU;58
.....  SAO MIGUEL DAS MISSOES;70
.....  SALVADOR DAS MISSOES;24
.....  SETE DE SETEMBRO;24
.....  SANTO ANTONIO DAS MISSOES;108
