 Nascidos vivos - Rio Grande do Sul;
Nascim p/resid.mãe por Região de Saúde/Município;
Período:2014;
Região de Saúde/Município;Nascim_p/resid.mãe
43001 Região 01 - Verdes Campos;5248
.....  JULIO DE CASTILHOS;250
.....  NOVA PALMA;69
.....  SAO PEDRO DO SUL;153
.....  SAO MARTINHO DA SERRA;31
.....  DILERMANDO DE AGUIAR;34
.....  SANTA MARIA;3406
.....  PARAISO DO SUL;58
.....  SAO SEPE;243
.....  VILA NOVA DO SUL;22
.....  RESTINGA SECA;165
.....  ITAARA;70
.....  QUEVEDOS;19
.....  PINHAL GRANDE;41
.....  TUPANCIRETA;297
.....  TOROPI;23
.....  SILVEIRA MARTINS;20
.....  SAO JOAO DO POLESINE;31
.....  FAXINAL DO SOTURNO;52
.....  DONA FRANCISCA;33
.....  FORMIGUEIRO;56
.....  AGUDO;162
.....  IVORA;13
43002 Região 02 - Entre Rios;1253
.....  SANTIAGO;551
.....  MATA;44
.....  JARI;30
.....  CACEQUI;104
.....  NOVA ESPERANCA DO SUL;53
.....  UNISTALDA;28
.....  ITACURUBI;29
.....  SAO VICENTE DO SUL;91
.....  CAPAO DO CIPO;25
.....  JAGUARI;83
.....  SAO FRANCISCO DE ASSIS;215
43003 Região 03 - Fronteira Oeste;6068
.....  MACAMBARA;37
.....  ROSARIO DO SUL;400
.....  SANTA MARGARIDA DO SUL;25
.....  QUARAI;306
.....  ALEGRETE;925
.....  BARRA DO QUARAI;38
.....  ITAQUI;530
.....  SAO GABRIEL;765
.....  SANT'ANA DO LIVRAMENTO;1126
.....  MANOEL VIANA;65
.....  URUGUAIANA;1851
43004 Região 04 - Belas Praias;2056
.....  MAMPITUBA;19
.....  TRES FORQUILHAS;23
.....  MAQUINE;88
.....  DOM PEDRO DE ALCANTARA;19
.....  ARROIO DO SAL;103
.....  TRES CACHOEIRAS;123
.....  CAPAO DA CANOA;795
.....  TORRES;514
.....  XANGRI-LA;223
.....  ITATI;30
.....  MORRINHOS DO SUL;23
.....  TERRA DE AREIA;96
43005 Região 05 - Bons Ventos;2869
.....  CARAA;72
.....  CIDREIRA;174
.....  IMBE;283
.....  MOSTARDAS;122
.....  OSORIO;593
.....  TRAMANDAI;819
.....  SANTO ANTONIO DA PATRULHA;449
.....  BALNEARIO PINHAL;138
.....  PALMARES DO SUL;135
.....  CAPIVARI DO SUL;48
.....  TAVARES;36
43006 Região 06 - Vale do Paranhana e Costa Serra;2959
.....  PAROBE;794
.....  ROLANTE;276
.....  SAO FRANCISCO DE PAULA;261
.....  RIOZINHO;43
.....  CAMBARA DO SUL;66
.....  TRES COROAS;326
.....  IGREJINHA;470
.....  TAQUARA;723
43007 Região 07 - Vale dos Sinos;10698
.....  DOIS IRMAOS;363
.....  CAMPO BOM;845
.....  SAPIRANGA;1199
.....  SAO LEOPOLDO;3063
.....  LINDOLFO COLLOR;92
.....  SAO JOSE DO HORTENCIO;41
.....  MORRO REUTER;77
.....  NOVA HARTZ;240
.....  SANTA MARIA DO HERVAL;84
.....  ESTANCIA VELHA;644
.....  PRESIDENTE LUCENA;28
.....  PORTAO;430
.....  NOVO HAMBURGO;3206
.....  ARARICA;108
.....  IVOTI;278
43008 Região 08 - Vale do Caí e Metropolitana;10964
.....  MONTENEGRO;910
.....  TRIUNFO;333
.....  TUPANDI;66
.....  SAPUCAIA DO SUL;2012
.....  CANOAS;5328
.....  SAO PEDRO DA SERRA;38
.....  CAPELA DE SANTANA;130
.....  BROCHIER;45
.....  TABAI;45
.....  MARATA;12
.....  SAO SEBASTIAO DO CAI;353
.....  SALVADOR DO SUL;67
.....  HARMONIA;43
.....  PARECI NOVO;48
.....  SAO JOSE DO SUL;18
.....  ESTEIO;1071
.....  NOVA SANTA RITA;381
.....  BARAO;64
43009 Região 09 - Carbonífera/Costa Doce;5163
.....  CAMAQUA;862
.....  BUTIA;313
.....  ARAMBARE;26
.....  BARAO DO TRIUNFO;68
.....  MARIANA PIMENTEL;29
.....  TAPES;183
.....  SERTAO SANTANA;56
.....  GENERAL CAMARA;86
.....  GUAIBA;1317
.....  ARROIO DOS RATOS;177
.....  BARRA DO RIBEIRO;121
.....  SENTINELA DO SUL;54
.....  CHUVISCA;67
.....  MINAS DO LEAO;114
.....  CRISTAL;95
.....  SAO JERONIMO;288
.....  DOM FELICIANO;163
.....  CHARQUEADAS;432
.....  ELDORADO DO SUL;593
.....  CERRO GRANDE DO SUL;119
43010 Região 10 - Capital e Vale do Gravataí;31813
.....  GLORINHA;76
.....  PORTO ALEGRE;19189
.....  CACHOEIRINHA;2106
.....  VIAMAO;3435
.....  GRAVATAI;3588
.....  ALVORADA;3419
43011 Região 11 - Sete Povos das Missões;3290
.....  VITORIA DAS MISSOES;20
.....  UBIRETAMA;18
.....  ENTRE-IJUIS;100
.....  SANTO ANGELO;1019
.....  MATO QUEIMADO;22
.....  ROLADOR;18
.....  SAO LUIZ GONZAGA;416
.....  CAIBATE;56
.....  CERRO LARGO;150
.....  BOSSOROCA;50
.....  SAO BORJA;735
.....  GARRUCHOS;28
.....  SAO NICOLAU;47
.....  SAO MIGUEL DAS MISSOES;89
.....  SALVADOR DAS MISSOES;19
.....  SETE DE SETEMBRO;19
.....  SANTO ANTONIO DAS MISSOES;103
