 Nascidos vivos - Rio Grande do Sul;
Nascim p/resid.mãe por Idade da mãe;
Período:2013;
Idade da mãe;Nascim_p/resid.mãe
10 a 14 anos;909
15 a 19 anos;21715
20 a 24 anos;32609
25 a 29 anos;33811
30 a 34 anos;31493
35 a 39 anos;16467
40 a 44 anos;4129
45 a 49 anos;205
50 a 54 anos;8
55 a 59 anos;1
Idade ignorada;3
Total;141350
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC;
 Consulte o site da Secretaria Estadual de Saúde para mais informações.;
 Notas:;
 ;
 Dados finais disponíveis até 2023. Data da atualização dos dados 12/2024.;
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram;
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento;
" ""Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011"".";
 ;
" * A categorização da ""Adequação quantitativa de pré-natal"" mostrada na variável ""Adeq quant pré-natal"" considera o início do";
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no;
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).;
" Maiores informações no documento ""Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi";
 ;
